Specimen_ID,Locality,Sex,Standard_Length_in_mm,Head_Length_in_mm,Number_of_Lateral_Line_Scales,Number_of_Dorsal_Fin_Spines,Number_of_Dorsal_Fin_Rays,Number_of_Anal_Fin_Spines,Number_of_Anal_Fin_Rays ,Number_of_Pelvic_Fin_Spines,Number_of_Pelvic_Fin_Rays,Number_of_Pectoral_Fin_Spines,Number_of_Pectoral_Fin_Rays
DAY001,Eyasi,M,88,32,32,14,11,3,10,1,5,0,11
DAY002,Eyasi,M,96,32,33,14,10,3,8,1,5,0,11
DAY003,Eyasi,M,77,28,31,14,11,3,9,1,5,0,11
DAY004,Eyasi,M,86,29,32,14,11,3,8,1,5,0,11
DAY005,Eyasi,F,88,31,31,13,11,3,9,1,5,0,12
DAY006,Eyasi,M,87,30,32,14,11,3,10,1,5,0,11
DAY007,Eyasi,F,89,32,32,14,11,3,9,1,5,0,12
DAY008,Eyasi,M,83,28,32,14,12,3,9,1,5,0,11
DAY009,Eyasi,M,92,32,32,13,12,3,9,1,5,0,11
DAY010,Eyasi,M,90,29,33,14,11,3,9,1,5,0,12
DAY011,Eyasi,M,84,29,32,14,11,3,10,1,5,0,10
DAY012,Eyasi,M,79,28,30,14,11,3,8,1,5,0,11
DAY013,Kitangiri,F,111,42,30,14,11,3,10,1,5,0,10
DAY014,Kitangiri,U,126,46,31,14,10,3,8,1,5,0,10
DAY015,Kitangiri,F,109,38,30,14,10,3,9,1,5,0,10
DAY016,Kitangiri,U,140,50,31,14,11,3,9,1,5,0,10
DAY018,Kitangiri,M,103,39,30,14,10,3,8,1,5,0,11
DAY020,Kitangiri,M,115,42,31,14,11,3,10,1,5,0,10
DAY021,Kitangiri,U,108,41,34,14,11,3,10,1,5,0,10
DAY022,Kitangiri,M,100,34,30,14,10,3,9,1,5,0,11
DAY023,Kitangiri,F,100,33,32,13,12,3,10,1,5,0,11
DAY024,Kitangiri,U,111,36,,14,12,3,10,1,5,0,11
DAY025,Kitangiri,M,104,39,30,13,12,3,10,1,5,0,10
DAY026,Kitangiri,M,110,39,30,14,11,3,10,1,5,0,11
DAY027,Kitangiri,U,111,37,32,14,11,3,10,1,5,0,11
DAY028,Kitangiri,M,90,30,30,14,11,3,10,1,5,0,10
DAY029,Kitangiri,U,103,33,33,14,11,3,9,1,5,0,11
DAY030,Singida,M,113,40,30,14,11,3,9,1,5,0,11
DAY031,Singida,F,116,42,32,13,11,3,10,1,5,0,11
DAY032,Singida,F,131,48,30,13,10,3,10,1,5,0,11
DAY033,Singida,F,110,38,30,14,11,3,10,1,5,0,12
DAY034,Singida,U,92,35,,14,11,3,10,1,5,0,11
DAY035,Singida,M,150,48,32,14,10,3,10,1,5,0,11
DAY036,Singida,M,121,42,30,13,11,3,10,1,5,0,11
DAY037,Singida,U,88,33,30,13,12,3,9,1,5,0,11
DAY038,Singida,F,95,35,32,14,11,3,10,1,5,0,10
DAY039,Singida,F,101,39,32,13,11,3,10,1,5,0,11
DAY040,Singida,F,99,37,31,14,12,3,10,1,5,0,11
DAY041,Singida,M,108,39,31,14,11,3,9,1,5,0,11
DAY042,Manyara,F,135,50,29,13,10,3,9,1,5,0,12
DAY043,Manyara,F,109,41,30,14,10,3,9,1,5,0,12
DAY044,Manyara,F,108,43,30,12,11,3,8,1,5,0,
DAY045,Manyara,M,87,32,29,14,10,3,9,1,5,0,13
DAY046,Manyara,F,92,33,30,13,12,3,10,1,5,0,12
DAY047,Manyara,U,82,29,30,14,11,3,10,1,5,0,13
DAY048,Manyara,F,90,33,30,14,11,3,10,1,5,0,13
DAY050,Manyara,M,92,32,29,14,10,3,9,1,5,0,12
DAY051,Manyara,U,90,32,30,13,11,3,9,1,5,0,12
DAY052,Manyara,F,97,36,30,13,11,3,9,1,5,0,12
DAY053,Manyara,U,87,29,29,13,11,3,10,1,5,0,11
DAY054,Manyara,M,81,28,29,13,11,3,10,1,5,0,12
DAY055,Manyara,U,90,31,30,14,11,3,10,1,5,0,12
DAY056,Manyara,U,87,30,30,13,12,3,9,1,5,0,12
DAY057,Manyara,F,91,33,28,14,11,3,10,1,5,0,11
DAY058,Manyara,F,86,31,29,13,10,3,10,1,5,0,11
DAY059,Manyara,U,86,30,30,14,10,3,10,1,5,0,12
DAY060,Manyara,M,90,32,31,14,11,3,10,1,5,0,12
DAY061,Manyara,M,81,30,30,13,11,3,9,1,5,0,12
DAY062,Manyara,U,90,34,29,14,10,3,9,1,5,0,12
DAY063,Manyara,M,88,31,29,13,12,3,11,1,5,0,12
DAY064,Manyara,M,83,31,29,12,11,3,9,1,5,0,13
DAY065,Manyara,U,86,30,30,14,11,3,9,1,5,0,12
DAY066,Manyara,F,92,35,29,13,12,3,10,1,5,0,12
DAY067,Manyara,U,83,30,29,14,10,3,9,1,5,0,12
DAY068,Manyara,M,89,31,30,14,11,3,10,1,5,0,13
DAY069,Manyara,U,92,33,30,13,11,3,9,1,5,0,13
DAY070,Manyara,M,86,31,29,13,11,3,10,1,5,0,12
TUR001,Manyara,U,118,42,,15,11,3,10,1,5,0,12
TUR002,Manyara,F,135,48,31,13,12,3,10,1,5,0,11
TUR003,Manyara,U,140,46,30,14,12,3,11,1,5,0,12
TUR004,Manyara,M,101,35,,14,11,3,10,1,5,0,11
TUR005,Manyara,M,104,36,30,15,11,3,9,1,5,0,12
TUR006,Manyara,U,104,35,31,14,11,3,9,1,5,0,12
TUR007,Manyara,F,89,33,,14,11,3,10,1,5,0,
TUR008,Manyara,F,126,43,31,14,12,3,10,1,5,0,13
TUR009,Manyara,U,95,33,,14,11,3,10,1,5,0,11
TUR010,Manyara,U,126,42,30,14,12,3,11,1,5,0,11
TUR011,Manyara,U,93,34,30,13,12,3,9,1,5,0,11
TUR012,Manyara,U,87,32,31,14,11,3,10,1,5,0,12
TUR013,Manyara,M,89,32,30,12,12,3,9,1,5,0,12
TUR014,Manyara,F,91,34,32,14,11,3,9,1,5,0,10
TUR015,Manyara,F,103,38,,14,12,3,9,1,5,0,12
TUR016,Manyara,U,120,42,,14,12,3,10,1,5,0,11
TUR017,Manyara,U,104,39,30,13,11,3,10,1,5,0,12
TUR018,Manyara,U,87,32,31,14,11,3,10,1,5,0,11
TUR019,Manyara,U,90,31,31,14,11,3,10,1,5,0,11
TUR020,Manyara,U,91,33,30,14,10,3,9,1,5,0,11
TUR021,Manyara,F,96,34,32,14,12,3,10,1,5,0,11
TUR022,Manyara,U,93,30,30,13,12,3,9,1,5,0,10
TUR023,Manyara,F,91,34,,14,11,3,10,1,5,0,11
GEN001,Manyara,U,83,28,31,14,10,3,9,1,5,0,13
GEN002,Manyara,U,88,30,31,13,11,3,10,1,5,0,15
GEN003,Manyara,U,87,28,31,13,11,3,9,1,5,0,13
GEN004,Manyara,U,81,28,30,13,11,3,10,1,5,0,13
GEN005,Manyara,U,87,30,30,13,10,3,9,1,5,0,13
GEN006,Manyara,M,83,30,32,13,11,3,9,1,5,0,14
GEN007,Manyara,U,82,28,29,13,11,3,9,1,5,0,13
GEN008,Sulungali,M,82,28,30,13,10,3,9,1,5,0,13
GEN009,Sulungali,U,80,27,29,13,11,3,10,1,5,0,13
GEN010,Sulungali,M,91,31,30,13,11,3,8,1,5,0,14
GEN011,Sulungali,F,106,39,30,13,10,3,9,1,5,0,13
GEN012,Sulungali,F,103,37,30,14,11,3,9,1,5,0,13
GEN013,Sulungali,M,90,31,31,13,10,3,9,1,5,0,14
GEN014,Sulungali,F,98,37,31,13,11,3,8,1,5,0,12
GEN015,Sulungali,U,86,29,31,13,11,3,9,1,5,0,13
GEN016,Sulungali,F,109,41,29,13,10,3,9,1,5,0,14
GEN017,Sulungali,F,99,33,30,14,10,3,10,1,5,0,13
GEN018,Sulungali,F,88,29,29,13,11,3,9,1,5,0,14
GEN019,Sulungali,F,92,31,31,14,10,3,9,1,5,0,13
GEN020,Sulungali,U,103,38,30,14,11,3,10,1,5,0,13
GEN021,Sulungali,U,110,41,30,13,10,3,9,1,5,0,13
GEN022,Sulungali,U,101,36,30,13,11,3,9,1,5,0,13
GEN023,Sulungali,U,104,38,31,12,10,3,9,1,5,0,12
GEN024,Sulungali,U,87,28,29,14,10,3,10,1,5,0,13
GEN025,Sulungali,U,97,31,31,11,11,3,9,1,5,0,12
GEN026,Sulungali,U,88,30,30,13,11,3,9,1,5,0,13
GEN027,Sulungali,U,86,30,30,13,10,3,10,1,5,0,13
GEN028,Sulungali,U,90,30,30,13,11,3,9,1,5,0,13
GEN029,Sulungali,M,83,29,30,13,12,3,11,1,5,0,13
GEN030,Sulungali,U,82,29,30,12,11,3,9,1,5,0,14
HOL001,Manyara,U,112,35,29,13,11,3,9,1,5,0,